"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"448","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"449",NA,"m","single","cancer",NA,NA,NA
"450",NA,"m","single","sagittarius",NA,NA,NA
"451","likes dogs","m","single","leo",NA,"dogs",NA
"452","likes dogs","m","single","leo",NA,"dogs",NA
"453","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"454","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"455","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"456","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"457","likes dogs","m","single","capricorn",NA,"dogs",NA
"458","dislikes dogs and dislikes cats","f","single","leo","dogs/cats","dogs",NA
"459","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"460","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"461","has dogs and likes cats","m","single","leo",NA,"cats","dogs"
"462","has cats","m","single","capricorn",NA,NA,"cats"
"463","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"464",NA,"m","single","leo",NA,NA,NA
"465",NA,"m","single","aquarius",NA,NA,NA
"466","dislikes cats","f","single","pisces","cats","cats",NA
"467","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"468","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"469","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"470","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"471","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"472",NA,"m","single","virgo",NA,NA,NA
"473","likes cats","m","single","cancer",NA,"cats",NA
"474","likes cats","f","single","taurus",NA,"cats",NA
"475",NA,"f","single","virgo",NA,NA,NA
"476","likes dogs and likes cats","m","seeing someone","aries",NA,"dogs/cats",NA
"477",NA,"m","single","gemini",NA,NA,NA
"478","likes dogs","m","single","sagittarius",NA,"dogs",NA
"479","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"480","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"481","has dogs and likes cats","f","single","scorpio",NA,"cats","dogs"
"482","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"483","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"484","likes dogs","m","single","leo",NA,"dogs",NA
"485",NA,"m","single","capricorn",NA,NA,NA
"486","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"487","likes dogs","m","single","sagittarius",NA,"dogs",NA
"488","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"489",NA,"m","single","sagittarius",NA,NA,NA
"490","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"491","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"492","has dogs and likes cats","m","single","cancer",NA,"cats","dogs"
"493","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"494","likes cats","f","single","taurus",NA,"cats",NA
"495","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"496","has cats","m","single","aquarius",NA,NA,"cats"
"497","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"498",NA,"f","single","scorpio",NA,NA,NA
"499",NA,"m","single","virgo",NA,NA,NA
"500","likes dogs","m","single","taurus",NA,"dogs",NA
"501","likes dogs and dislikes cats","m","single","aquarius","cats","dogs",NA
"502","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"503","likes dogs and likes cats","f","seeing someone","libra",NA,"dogs/cats",NA
"504","likes cats","m","single","gemini",NA,"cats",NA
"505","likes dogs and likes cats","m","available","virgo",NA,"dogs/cats",NA
"506","likes dogs","f","single","scorpio",NA,"dogs",NA
"507","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"508","has dogs","f","single","aquarius",NA,NA,"dogs"
"509","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"510","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"511","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"512","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"513",NA,"m","single","capricorn",NA,NA,NA
"514","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"515","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"516","has cats","m","single","cancer",NA,NA,"cats"
"517","likes dogs","m","single","virgo",NA,"dogs",NA
"518","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"519","likes dogs and likes cats","f","seeing someone","gemini",NA,"dogs/cats",NA
"520","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"521",NA,"f","single","leo",NA,NA,NA
"522","has dogs","f","single","taurus",NA,NA,"dogs"
"523",NA,"f","single","libra",NA,NA,NA
"524","likes dogs","m","single","taurus",NA,"dogs",NA
"525","has dogs and dislikes cats","m","single","taurus","cats","cats","dogs"
"526","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"527",NA,"m","single","gemini",NA,NA,NA
"528","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"529","likes dogs and has cats","f","single","scorpio",NA,"dogs","cats"
"530",NA,"m","single","gemini",NA,NA,NA
"531","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"532","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"533","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"534",NA,"m","single","taurus",NA,NA,NA
"535",NA,"m","single","leo",NA,NA,NA
"536","has dogs and has cats","f","single","leo",NA,NA,"dogs/cats"
"537","likes dogs and has cats","m","seeing someone","sagittarius",NA,"dogs","cats"
"538","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"539","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"540",NA,"m","single","pisces",NA,NA,NA
"541",NA,"f","single","taurus",NA,NA,NA
"542",NA,"m","single","capricorn",NA,NA,NA
"543","likes dogs and dislikes cats","f","single","aries","cats","dogs",NA
"544",NA,"m","single","cancer",NA,NA,NA
"545","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"546","has cats","m","single","gemini",NA,NA,"cats"
"547","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"548","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"549","likes dogs and likes cats","m","available","gemini",NA,"dogs/cats",NA
"550","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"551","likes dogs and likes cats","f","married","taurus",NA,"dogs/cats",NA
"552",NA,"m","single","capricorn",NA,NA,NA
"553",NA,"m","single","gemini",NA,NA,NA
"554",NA,"m","single","scorpio",NA,NA,NA
"555","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"556","likes cats","m","available","leo",NA,"cats",NA
"557","has dogs","f","single","leo",NA,NA,"dogs"
"558","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"559","has dogs and has cats","f","single","capricorn",NA,NA,"dogs/cats"
"560",NA,"f","single","aries",NA,NA,NA
"561",NA,"m","single","cancer",NA,NA,NA
"562",NA,"f","single","sagittarius",NA,NA,NA
"563","has dogs and has cats","m","single","pisces",NA,NA,"dogs/cats"
"564","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"565",NA,"f","single","aries",NA,NA,NA
"566","likes dogs and dislikes cats","m","single","cancer","cats","dogs",NA
"567","likes dogs","m","single","leo",NA,"dogs",NA
"568","has dogs","m","seeing someone","leo",NA,NA,"dogs"
"569","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"570","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"571","has dogs and likes cats","f","seeing someone","virgo",NA,"cats","dogs"
"572","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"573","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"574",NA,"m","single","leo",NA,NA,NA
"575","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"576","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"577","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"578","has dogs","f","single","aries",NA,NA,"dogs"
"579","has dogs","m","single","pisces",NA,NA,"dogs"
"580","likes dogs and likes cats","m","seeing someone","libra",NA,"dogs/cats",NA
"581","has dogs","f","single","taurus",NA,NA,"dogs"
"582","likes dogs and dislikes cats","f","single","cancer","cats","dogs",NA
"583","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"584",NA,"f","single","aries",NA,NA,NA
"585","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"586","has dogs and likes cats","m","single","aquarius",NA,"cats","dogs"
"587","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"588","dislikes dogs and likes cats","m","available","capricorn","dogs","dogs/cats",NA
"589",NA,"m","single","leo",NA,NA,NA
"590","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"591","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"592","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"593","likes dogs","f","single","scorpio",NA,"dogs",NA
"594","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"595",NA,"m","single","sagittarius",NA,NA,NA
"596","likes dogs","m","single","sagittarius",NA,"dogs",NA
"597","likes dogs and likes cats","m","seeing someone","taurus",NA,"dogs/cats",NA
"598","has dogs","f","single","aquarius",NA,NA,"dogs"
"599","likes dogs","m","single","aries",NA,"dogs",NA
"600","likes dogs and likes cats","m","available","virgo",NA,"dogs/cats",NA
"601","likes dogs","m","single","libra",NA,"dogs",NA
"602","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"603","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"604","has cats","m","single","sagittarius",NA,NA,"cats"
"605","has dogs","f","single","cancer",NA,NA,"dogs"
"606","has dogs and has cats","m","single","capricorn",NA,NA,"dogs/cats"
"607",NA,"m","single","pisces",NA,NA,NA
"608","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"609","has dogs","m","single","scorpio",NA,NA,"dogs"
"610",NA,"m","single","leo",NA,NA,NA
"611","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"612","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"613","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"614","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"615",NA,"f","single","leo",NA,NA,NA
"616","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"617","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"618","has dogs and has cats","f","single","capricorn",NA,NA,"dogs/cats"
"619","has dogs and likes cats","f","single","scorpio",NA,"cats","dogs"
"620","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"621","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"622",NA,"m","single","aquarius",NA,NA,NA
"623",NA,"f","single","leo",NA,NA,NA
"624",NA,"m","single","gemini",NA,NA,NA
"625","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"626","has dogs","m","seeing someone","scorpio",NA,NA,"dogs"
"627",NA,"f","single","aquarius",NA,NA,NA
"628","has cats","m","single","virgo",NA,NA,"cats"
"629","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"630",NA,"m","single","capricorn",NA,NA,NA
"631","likes dogs","m","single","capricorn",NA,"dogs",NA
"632","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"633","has dogs and dislikes cats","f","single","aries","cats","cats","dogs"
"634","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"635","likes dogs and dislikes cats","f","single","libra","cats","dogs",NA
"636","has dogs and likes cats","f","single","leo",NA,"cats","dogs"
"637",NA,"f","single","cancer",NA,NA,NA
"638",NA,"f","single","capricorn",NA,NA,NA
"639","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"640","likes dogs and dislikes cats","m","single","aquarius","cats","dogs",NA
"641","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"642","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"643","has dogs","f","single","gemini",NA,NA,"dogs"
"644","likes dogs","m","seeing someone","virgo",NA,"dogs",NA
"645",NA,"m","single","scorpio",NA,NA,NA
"646","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"647","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"648","has dogs","m","single","sagittarius",NA,NA,"dogs"
"649","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"650","has dogs and dislikes cats","m","single","sagittarius","cats","cats","dogs"
"651","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"652","likes dogs","m","single","taurus",NA,"dogs",NA
"653","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"654",NA,"m","single","aries",NA,NA,NA
"655",NA,"m","single","cancer",NA,NA,NA
"656","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"657","likes dogs and dislikes cats","m","single","cancer","cats","dogs",NA
"658","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"659","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"660","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"661","likes dogs and dislikes cats","m","single","scorpio","cats","dogs",NA
"662","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"663",NA,"m","single","libra",NA,NA,NA
"664","has cats","m","single","pisces",NA,NA,"cats"
"665","has dogs","m","single","libra",NA,NA,"dogs"
"666","has dogs and has cats","m","single","capricorn",NA,NA,"dogs/cats"
"667","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"668","has dogs","m","single","aries",NA,NA,"dogs"
"669","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"670","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"671","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"672",NA,"m","single","gemini",NA,NA,NA
"673","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"674","likes dogs and has cats","m","single","gemini",NA,"dogs","cats"
"675","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"676",NA,"f","single","gemini",NA,NA,NA
"677",NA,"m","single","leo",NA,NA,NA
"678","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"679","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"680","likes dogs","f","single","cancer",NA,"dogs",NA
"681",NA,"f","single","aquarius",NA,NA,NA
"682","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"683","likes dogs","m","single","sagittarius",NA,"dogs",NA
"684","likes dogs","f","single","aries",NA,"dogs",NA
"685","likes cats","m","single","taurus",NA,"cats",NA
"686","likes cats","f","available","taurus",NA,"cats",NA
"687","likes dogs","m","single","aries",NA,"dogs",NA
"688","likes dogs","m","single","taurus",NA,"dogs",NA
"689","likes dogs and dislikes cats","f","single","libra","cats","dogs",NA
"690","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"691","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"692","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"693","has dogs and dislikes cats","f","single","capricorn","cats","cats","dogs"
"694",NA,"f","single","libra",NA,NA,NA
"695",NA,"m","single","sagittarius",NA,NA,NA
"696","has dogs","m","single","aries",NA,NA,"dogs"
"697","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"698",NA,"f","single","libra",NA,NA,NA
"699",NA,"m","single","taurus",NA,NA,NA
"700","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"701","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"702","has dogs and likes cats","m","single","aquarius",NA,"cats","dogs"
"703",NA,"m","single","virgo",NA,NA,NA
"704",NA,"m","single","sagittarius",NA,NA,NA
"705","has dogs and likes cats","m","single","scorpio",NA,"cats","dogs"
"706","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"707","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"708","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"709","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"710","has dogs","m","single","aquarius",NA,NA,"dogs"
"711","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"712","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"713","likes dogs","m","single","virgo",NA,"dogs",NA
"714","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"715",NA,"m","single","cancer",NA,NA,NA
"716","likes dogs and likes cats","m","available","leo",NA,"dogs/cats",NA
"717",NA,"m","single","sagittarius",NA,NA,NA
"718","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"719","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"720",NA,"m","single","taurus",NA,NA,NA
"721","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"722","has dogs and has cats","m","single","leo",NA,NA,"dogs/cats"
"723","likes dogs","m","single","virgo",NA,"dogs",NA
